Timestep,Cumulative Reward
0,0.95
1,1.9
2,2.8499999999999996
3,3.8
4,4.75
5,5.7
6,6.65
7,7.6000000000000005
8,8.55
9,9.5
10,10.45
11,11.399999999999999
12,12.349999999999998
13,13.299999999999997
14,14.249999999999996
15,15.199999999999996
16,16.149999999999995
17,17.099999999999994
18,18.049999999999994
19,18.999999999999993
20,19.949999999999992
21,20.89999999999999
22,21.84999999999999
23,22.79999999999999
24,23.74999999999999
25,24.69999999999999
26,25.649999999999988
27,26.599999999999987
28,27.549999999999986
29,28.499999999999986
30,29.449999999999985
31,30.399999999999984
32,31.349999999999984
33,32.29999999999998
34,33.249999999999986
35,34.19999999999999
36,35.14999999999999
37,36.099999999999994
38,37.05
39,38.0
40,38.95
41,39.900000000000006
42,40.85000000000001
43,41.80000000000001
44,42.750000000000014
45,43.70000000000002
46,44.65000000000002
47,45.60000000000002
48,46.550000000000026
49,47.50000000000003
50,48.45000000000003
51,49.400000000000034
52,50.35000000000004
53,51.30000000000004
54,52.25000000000004
55,53.200000000000045
56,54.15000000000005
57,55.10000000000005
58,56.050000000000054
59,57.00000000000006
60,57.95000000000006
61,58.90000000000006
62,59.850000000000065
63,60.80000000000007
64,61.75000000000007
65,62.700000000000074
66,63.65000000000008
67,64.60000000000008
68,65.55000000000008
69,66.50000000000009
70,67.45000000000009
71,68.40000000000009
72,69.3500000000001
73,70.3000000000001
74,71.2500000000001
75,72.2000000000001
76,73.1500000000001
77,74.10000000000011
78,75.05000000000011
79,76.00000000000011
80,76.95000000000012
81,77.90000000000012
82,78.85000000000012
83,79.80000000000013
84,80.75000000000013
85,81.70000000000013
86,82.65000000000013
87,83.60000000000014
88,84.55000000000014
89,85.50000000000014
90,86.45000000000014
91,87.40000000000015
92,88.35000000000015
93,89.30000000000015
94,90.25000000000016
95,91.20000000000016
96,92.15000000000016
97,93.10000000000016
98,94.05000000000017
99,95.00000000000017
100,95.95000000000017
101,96.90000000000018
102,97.85000000000018
103,98.80000000000018
104,99.75000000000018
105,100.70000000000019
106,101.65000000000019
107,102.6000000000002
108,103.5500000000002
109,104.5000000000002
110,105.4500000000002
111,106.4000000000002
112,107.35000000000021
113,108.30000000000021
114,109.25000000000021
115,110.20000000000022
116,111.15000000000022
117,112.10000000000022
118,113.05000000000022
119,114.00000000000023
120,114.95000000000023
121,115.90000000000023
122,116.85000000000024
123,117.80000000000024
124,118.75000000000024
125,119.70000000000024
126,120.65000000000025
127,121.60000000000025
128,122.55000000000025
129,123.50000000000026
130,124.45000000000026
131,125.40000000000026
132,126.35000000000026
133,127.30000000000027
134,128.25000000000026
135,129.20000000000024
136,130.15000000000023
137,131.10000000000022
138,132.0500000000002
139,133.0000000000002
140,133.9500000000002
141,134.90000000000018
142,135.85000000000016
143,136.80000000000015
144,137.75000000000014
145,138.70000000000013
146,139.65000000000012
147,140.6000000000001
148,141.5500000000001
149,142.50000000000009
150,143.45000000000007
151,144.40000000000006
152,145.35000000000005
153,146.30000000000004
154,147.25000000000003
155,148.20000000000002
156,149.15
157,150.1
158,151.04999999999998
159,151.99999999999997
160,152.94999999999996
161,153.89999999999995
162,154.84999999999994
163,155.79999999999993
164,156.74999999999991
165,157.6999999999999
166,158.6499999999999
167,159.59999999999988
168,160.54999999999987
169,161.49999999999986
170,162.44999999999985
171,163.39999999999984
172,164.34999999999982
173,165.2999999999998
174,166.2499999999998
175,167.1999999999998
176,168.14999999999978
177,169.09999999999977
178,170.04999999999976
179,170.99999999999974
180,171.94999999999973
181,172.89999999999972
182,173.8499999999997
183,174.7999999999997
184,175.7499999999997
185,176.69999999999968
186,177.64999999999966
187,178.59999999999965
188,179.54999999999964
189,180.49999999999963
190,181.44999999999962
191,182.3999999999996
192,183.3499999999996
193,184.29999999999959
194,185.24999999999957
195,186.19999999999956
196,187.14999999999955
197,188.09999999999954
198,189.04999999999953
199,189.99999999999952
200,190.9499999999995
201,191.8999999999995
202,192.84999999999948
203,193.79999999999947
204,194.74999999999946
205,195.69999999999945
206,196.64999999999944
207,197.59999999999943
208,198.54999999999941
209,199.4999999999994
210,200.4499999999994
211,201.39999999999938
212,202.34999999999937
213,203.29999999999936
214,204.24999999999935
215,205.19999999999933
216,206.14999999999932
217,207.0999999999993
218,208.0499999999993
219,208.9999999999993
220,209.94999999999928
221,210.89999999999927
222,211.84999999999926
223,212.79999999999924
224,213.74999999999923
225,214.69999999999922
226,215.6499999999992
227,216.5999999999992
228,217.5499999999992
229,218.49999999999918
230,219.44999999999916
231,220.39999999999915
232,221.34999999999914
233,222.29999999999913
234,223.24999999999912
235,224.1999999999991
236,225.1499999999991
237,226.09999999999908
238,227.04999999999907
239,227.99999999999906
240,228.94999999999905
241,229.89999999999904
242,230.84999999999903
243,231.79999999999902
244,232.749999999999
245,233.699999999999
246,234.64999999999898
247,235.59999999999897
248,236.54999999999896
249,237.49999999999895
250,238.44999999999894
251,239.39999999999893
252,240.34999999999891
253,241.2999999999989
254,242.2499999999989
255,243.19999999999888
256,244.14999999999887
257,245.09999999999886
258,246.04999999999885
259,246.99999999999883
260,247.94999999999882
261,248.8999999999988
262,249.8499999999988
263,250.7999999999988
264,251.74999999999878
265,252.69999999999877
266,253.64999999999876
267,254.59999999999874
268,255.54999999999873
269,256.49999999999875
270,257.44999999999874
271,258.3999999999987
272,259.3499999999987
273,260.2999999999987
274,261.2499999999987
275,262.1999999999987
276,263.14999999999867
277,264.09999999999866
278,265.04999999999865
279,265.99999999999864
280,266.9499999999986
281,267.8999999999986
282,268.8499999999986
283,269.7999999999986
284,270.7499999999986
285,271.69999999999857
286,272.64999999999856
287,273.59999999999854
288,274.54999999999853
289,275.4999999999985
290,276.4499999999985
291,277.3999999999985
292,278.3499999999985
293,279.2999999999985
294,280.24999999999847
295,281.19999999999845
296,282.14999999999844
297,283.09999999999843
298,284.0499999999984
299,284.9999999999984
300,285.9499999999984
301,286.8999999999984
302,287.8499999999984
303,288.79999999999836
304,289.74999999999835
305,290.69999999999834
306,291.64999999999833
307,292.5999999999983
308,293.5499999999983
309,294.4999999999983
310,295.4499999999983
311,296.3999999999983
312,297.34999999999826
313,298.29999999999825
314,299.24999999999824
315,300.1999999999982
316,301.1499999999982
317,302.0999999999982
318,303.0499999999982
319,303.9999999999982
320,304.94999999999817
321,305.89999999999816
322,306.84999999999815
323,307.79999999999814
324,308.7499999999981
325,309.6999999999981
326,310.6499999999981
327,311.5999999999981
328,312.5499999999981
329,313.49999999999807
330,314.44999999999806
331,315.39999999999804
332,316.34999999999803
333,317.299999999998
334,318.249999999998
335,319.199999999998
336,320.149999999998
337,321.099999999998
338,322.04999999999797
339,322.99999999999795
340,323.94999999999794
341,324.89999999999793
342,325.8499999999979
343,326.7999999999979
344,327.7499999999979
345,328.6999999999979
346,329.6499999999979
